Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
K-Means,No Data Processing,3,0.6695939093799408,1253.8645507575184,0.5727505055537576
Hierarchical,No Data Processing,3,0.5082541979862977,1089.9294356799096,0.6314289134608407
Mean Shift,No Data Processing,3,0.6269815369508928,637.9866102587793,0.5121912464490965
K-Means,No Data Processing,4,0.5334614737117133,1465.6728614582266,0.617693110569089
Hierarchical,No Data Processing,4,0.5090031014228603,1245.5676253126308,0.6090629759960557
Mean Shift,No Data Processing,4,0.6269815369508928,637.9866102587793,0.5121912464490965
K-Means,No Data Processing,5,0.510229299790784,1621.0110530063253,0.6145008756140762
Hierarchical,No Data Processing,5,0.5114445846680877,1541.8594977639382,0.6114068077601044
Mean Shift,No Data Processing,5,0.6269815369508928,637.9866102587793,0.5121912464490965
K-Means,Using Normalization,3,0.3323932440359229,253.29520998737712,1.4572686230323058
Hierarchical,Using Normalization,3,0.3353455059391662,235.84271935764409,1.4661519524853859
Mean Shift,Using Normalization,3,0.2856835286821924,31.3686589762133,1.1692103378691303
K-Means,Using Normalization,4,0.20843569640122933,202.64302237608166,1.4768178948467825
Hierarchical,Using Normalization,4,0.13660517879221948,185.18591201280904,1.9146505883971519
Mean Shift,Using Normalization,4,0.2856835286821924,31.3686589762133,1.1692103378691303
K-Means,Using Normalization,5,0.1676660672718536,178.25254068975752,1.7225838719155562
Hierarchical,Using Normalization,5,0.12800678407658353,158.2103032901514,1.855835589411101
Mean Shift,Using Normalization,5,0.2856835286821924,31.3686589762133,1.1692103378691303
K-Means,Using PCA,3,0.6710100390313819,1265.2537453382035,0.56790373338951
Hierarchical,Using PCA,3,0.5188638624299644,1089.9401953267425,0.6150823066379716
Mean Shift,Using PCA,3,0.6289495181473839,642.019847810513,0.512252072781345
K-Means,Using PCA,4,0.5366126120762759,1485.793460925415,0.6118192086451526
Hierarchical,Using PCA,4,0.5273895388735976,1369.4194498211164,0.5861939649455624
Mean Shift,Using PCA,4,0.6289495181473839,642.019847810513,0.512252072781345
K-Means,Using PCA,5,0.5166104285353057,1649.1968485860682,0.6113020445397153
Hierarchical,Using PCA,5,0.4784053907499676,1421.9064793254645,0.5923079731818459
Mean Shift,Using PCA,5,0.6289495181473839,642.019847810513,0.512252072781345
K-Means,Using Normalization + PCA,3,0.47932787049192904,563.778202419727,0.9278766059920839
Hierarchical,Using Normalization + PCA,3,0.43178976086911264,512.2233755648799,1.0580002628064282
Mean Shift,Using Normalization + PCA,3,0.4989681089972707,186.64038612068302,0.6806517591952177
K-Means,Using Normalization + PCA,4,0.3889205689599332,504.60239684797307,0.8862280367984059
Hierarchical,Using Normalization + PCA,4,0.3297309796346543,448.8993116493256,0.9299390836337815
Mean Shift,Using Normalization + PCA,4,0.4989681089972707,186.64038612068302,0.6806517591952177
K-Means,Using Normalization + PCA,5,0.3394321788083045,489.0532775528322,0.9802190703072527
Hierarchical,Using Normalization + PCA,5,0.34587982034401704,419.6172672027961,0.8824709436776772
Mean Shift,Using Normalization + PCA,5,0.4989681089972707,186.64038612068302,0.6806517591952177
